epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,4315.08,0.56126,1.46809,0.5504,0.96505,0,0.71803,0.5378,0.52608,0.37869,0.71964,0.52063,0.51694,0.31507,0.55824,1.17198,0.43693,0.95309,0,0.000235188,0.000235188,0.000235188
65,4380.33,0.56762,1.39214,0.52227,0.96517,0,0.73254,0.53008,0.53615,0.38157,0.73064,0.52715,0.53025,0.32065,0.55608,1.1847,0.43837,0.94866,0,0.000229,0.000229,0.000229
66,4446.03,0.57734,1.48927,0.54657,0.97123,0,0.68765,0.5361,0.59431,0.44866,0.68642,0.5336,0.58871,0.38175,0.55151,1.20213,0.45388,0.95007,0,0.000222813,0.000222813,0.000222813
67,4513.9,0.55825,1.41769,0.53896,0.95968,0,0.73922,0.53618,0.54426,0.3861,0.74634,0.54265,0.54545,0.33023,0.5571,1.16546,0.43336,0.9497,0,0.000216625,0.000216625,0.000216625
68,4580.83,0.57735,1.44052,0.54103,0.96978,0,0.73984,0.55001,0.53268,0.38154,0.72915,0.55355,0.5298,0.32195,0.55904,1.17857,0.43879,0.95414,0,0.000210437,0.000210437,0.000210437
69,4647.53,0.55452,1.40526,0.52158,0.95978,0,0.76615,0.55183,0.53834,0.39247,0.76441,0.55582,0.53746,0.33096,0.54894,1.16095,0.4054,0.94545,0,0.00020425,0.00020425,0.00020425
70,4714.45,0.5745,1.45418,0.54106,0.9692,0,0.77395,0.56949,0.5413,0.39163,0.77173,0.56619,0.53846,0.3358,0.5442,1.14984,0.40083,0.94933,0,0.000198063,0.000198063,0.000198063
71,4780.06,0.5413,1.40542,0.51215,0.9502,0,0.79277,0.51535,0.58217,0.4302,0.79381,0.51953,0.58603,0.37749,0.54441,1.14602,0.40142,0.94731,0,0.000191875,0.000191875,0.000191875
72,4845.83,0.54617,1.36276,0.50486,0.94927,0,0.79579,0.51352,0.54947,0.40006,0.79809,0.51876,0.55285,0.34148,0.55307,1.149,0.39847,0.9437,0,0.000185688,0.000185688,0.000185688
73,4910.67,0.56341,1.39324,0.52123,0.96026,0,0.76055,0.55635,0.54644,0.39381,0.76415,0.55926,0.5476,0.33569,0.55021,1.1388,0.3992,0.94679,0,0.0001795,0.0001795,0.0001795
74,4976.11,0.55138,1.36153,0.50298,0.95733,0,0.74465,0.53998,0.54352,0.38702,0.74203,0.5402,0.53575,0.32536,0.547,1.14273,0.40931,0.94569,0,0.000173313,0.000173313,0.000173313
75,5041.31,0.5661,1.42255,0.51663,0.95852,0,0.75856,0.55561,0.5462,0.39247,0.75802,0.5549,0.54331,0.33767,0.54399,1.12607,0.39682,0.94659,0,0.000167125,0.000167125,0.000167125
76,5105.48,0.55032,1.35422,0.51436,0.95687,0,0.75395,0.5278,0.64822,0.48741,0.75554,0.52747,0.64721,0.42681,0.54646,1.13719,0.43029,0.94575,0,0.000160938,0.000160938,0.000160938
77,5171.09,0.54554,1.38959,0.50309,0.9527,0,0.7693,0.55866,0.56954,0.40982,0.77032,0.55881,0.569,0.35165,0.54431,1.12476,0.39748,0.94587,0,0.00015475,0.00015475,0.00015475
78,5237.14,0.56171,1.39583,0.51492,0.96581,0,0.77599,0.53402,0.57352,0.41373,0.77713,0.5411,0.57609,0.35212,0.54228,1.14605,0.39529,0.94347,0,0.000148563,0.000148563,0.000148563
79,5303.44,0.54568,1.36587,0.5009,0.9546,0,0.75367,0.57216,0.55585,0.39819,0.75174,0.56949,0.54843,0.33198,0.5478,1.12532,0.39168,0.94544,0,0.000142375,0.000142375,0.000142375
80,5369.56,0.55813,1.38085,0.50965,0.95453,0,0.7997,0.55325,0.57593,0.41542,0.79487,0.54984,0.57053,0.35461,0.53523,1.1113,0.38185,0.94124,0,0.000136187,0.000136187,0.000136187
81,5436.41,0.55689,1.40071,0.51477,0.95906,0,0.80419,0.53288,0.59975,0.44053,0.80438,0.53214,0.59684,0.37776,0.54306,1.10891,0.38299,0.93952,0,0.00013,0.00013,0.00013
82,5502.54,0.55911,1.4131,0.51453,0.95499,0,0.76758,0.57707,0.60015,0.43298,0.76896,0.57374,0.59969,0.37184,0.54375,1.1131,0.38398,0.9429,0,0.000123812,0.000123812,0.000123812
83,5568.55,0.54708,1.38152,0.50618,0.96042,0,0.80789,0.52766,0.66898,0.50049,0.80212,0.52266,0.66022,0.44095,0.54063,1.11071,0.38089,0.94414,0,0.000117625,0.000117625,0.000117625
84,5634.47,0.55918,1.38902,0.50118,0.962,0,0.78038,0.58017,0.58216,0.42358,0.78114,0.58408,0.58249,0.3619,0.54309,1.1107,0.37887,0.93938,0,0.000111438,0.000111438,0.000111438
85,5699.56,0.55406,1.38451,0.50296,0.96137,0,0.7981,0.54038,0.60323,0.42857,0.79574,0.53897,0.59657,0.3704,0.53768,1.10266,0.37915,0.94101,0,0.00010525,0.00010525,0.00010525
86,5767.04,0.5431,1.34243,0.48673,0.95589,0,0.8232,0.51827,0.57742,0.4147,0.81555,0.52191,0.57724,0.35486,0.53843,1.1073,0.38546,0.94032,0,9.90625e-05,9.90625e-05,9.90625e-05
87,5833.78,0.54826,1.40927,0.50398,0.95278,0,0.77736,0.55411,0.62079,0.45512,0.78216,0.56558,0.62467,0.38934,0.53799,1.108,0.37771,0.93962,0,9.2875e-05,9.2875e-05,9.2875e-05
88,5899.9,0.56413,1.38981,0.50089,0.96319,0,0.79754,0.5513,0.67093,0.50722,0.7753,0.56112,0.67237,0.44747,0.5382,1.1012,0.37579,0.93842,0,8.66875e-05,8.66875e-05,8.66875e-05
89,5964.8,0.54243,1.32595,0.48178,0.94954,0,0.78806,0.56707,0.58694,0.42677,0.78607,0.56415,0.5867,0.36813,0.54156,1.09042,0.37893,0.94165,0,8.05e-05,8.05e-05,8.05e-05
90,6030.33,0.53969,1.34999,0.48817,0.95305,0,0.80453,0.58376,0.66451,0.51235,0.80711,0.58561,0.66484,0.45282,0.53199,1.08508,0.37494,0.93957,0,7.43125e-05,7.43125e-05,7.43125e-05
91,6089.28,0.56471,1.34064,0.45027,0.959,0,0.78903,0.53924,0.60462,0.43719,0.78716,0.5378,0.59817,0.37655,0.54709,1.11973,0.4328,0.94585,0,6.8125e-05,6.8125e-05,6.8125e-05
92,6145.34,0.5538,1.33485,0.44459,0.96106,0,0.77613,0.56611,0.66414,0.49748,0.77984,0.56982,0.6679,0.44634,0.53575,1.0891,0.37836,0.94246,0,6.19375e-05,6.19375e-05,6.19375e-05
93,6201.79,0.55871,1.32079,0.43877,0.96531,0,0.79372,0.55662,0.58979,0.42532,0.79203,0.55547,0.58702,0.36741,0.5405,1.08818,0.37627,0.9407,0,5.575e-05,5.575e-05,5.575e-05
94,6256.62,0.55876,1.31195,0.43372,0.95812,0,0.79586,0.56087,0.62446,0.45198,0.79739,0.56189,0.6219,0.3992,0.53831,1.07691,0.37398,0.93838,0,4.95625e-05,4.95625e-05,4.95625e-05
95,6310.99,0.55724,1.33329,0.42982,0.96265,0,0.80729,0.55757,0.60849,0.43398,0.80518,0.55675,0.60389,0.37206,0.54032,1.08424,0.37161,0.94041,0,4.3375e-05,4.3375e-05,4.3375e-05
96,6364.92,0.56112,1.28386,0.43175,0.95946,0,0.80515,0.54666,0.61144,0.44268,0.80699,0.54929,0.60825,0.38308,0.53463,1.07525,0.37142,0.9385,0,3.71875e-05,3.71875e-05,3.71875e-05
97,6419.27,0.54665,1.28573,0.41887,0.95678,0,0.80282,0.56866,0.63657,0.46422,0.80852,0.57361,0.6391,0.4059,0.53241,1.06486,0.36602,0.93786,0,3.1e-05,3.1e-05,3.1e-05
98,6474.32,0.54841,1.27941,0.42504,0.95824,0,0.79394,0.57079,0.62165,0.44394,0.79499,0.57089,0.62042,0.38409,0.5338,1.06231,0.36692,0.93948,0,2.48125e-05,2.48125e-05,2.48125e-05
99,6529.59,0.55506,1.28682,0.41944,0.95801,0,0.79517,0.5766,0.61855,0.44205,0.79506,0.57813,0.61532,0.38434,0.53511,1.06027,0.36595,0.93952,0,1.8625e-05,1.8625e-05,1.8625e-05
100,6585.65,0.55223,1.28632,0.41869,0.96045,0,0.79504,0.56681,0.62498,0.45047,0.79598,0.5714,0.62513,0.39435,0.53569,1.06452,0.3661,0.93933,0,1.24375e-05,1.24375e-05,1.24375e-05
